id;cod;tree_parent_cod;metatag;display;name_es;name_gl;name_en;name_ca
56;U120208;U120200;0;1;"Ecuaciones funcionales";"Ecuacións funcionais";"Functional equations";"Equacions funcionals"
57;U120209;U120200;0;1;"Funciones de una variable compleja";"Funcións dunha variable complexa";"Functions of a complex variable";"Funcions d'una variable complexa"
58;U120210;U120200;0;1;"Funciones de variables reales";"Funcións de variables reais";"Functions of real variables";"Funcions de variables reals"
59;U120211;U120200;0;1;"Funciones de varias variables complejas";"Funcións de varias variables complexas";"Functions of several complex variables";"Funcions de variables complexes"
60;U120212;U120200;0;1;"Análisis global";"Análise global";"Global analysis";"Anàlisi global"
61;U120213;U120200;0;1;"Análisis armónico";"Análise armónico";"Harmonic analysis";"Anàlisi harmònica"
62;U120214;U120200;0;1;"Espacios de Hilbert";"Espazos de Hilbert";"Hilbert spaces";"Espais de Hilbert"
63;U120215;U120200;0;1;"Ecuaciones integrales";"Ecuacións integrais";"Integral equations";"Equacions integrals"
64;U120216;U120200;0;1;"Transformadores integrales";"Transformadores integrais";"Integral transforms";"Transformades integrals"
65;U120217;U120200;0;1;"Medida;integración;área";"Medida;integración;área";"Measure;integration;area";"Mesura,integració,àrea"
66;U120218;U120200;0;1;"Cálculo operacional";"Cálculo operacional";"Operational calculus";"Càlcul operacional"
67;U120219;U120200;0;1;"Ecuaciones diferenciales ordinarias";"Ecuacións diferenciais ordinarias";"Ordinary differential equations";"Equacions diferencials ordinàries"
68;U120220;U120200;0;1;"Ecuaciones diferenciales en derivadas parciales";"Ecuacións diferenciais en derivadas parciais";"Partial differential equations";"Equacions diferencials en derivades parcials"
69;U120221;U120200;0;1;"Teoría de potencial";"Teoría de potencial";"Potential theory";"Teoria del potencial"
70;U120222;U120200;0;1;"Series;sumabilidad";"Series;sumabilidade";"Series;summability";"Sèries, sumabilitat"
71;U120223;U120200;0;1;"Funciones especiales";"Funcións especiais";"Special functions";"Funcions especials"
72;U120224;U120200;0;1;"Funciones subarmónicas";"Funcións subarmónicas";"Subharmonic functions";"Funcions subharmòniques"
73;U120225;U120200;0;1;"Espacios lineales topológicos";"Espazos lineais topolóxicos";"Topological linear spaces";"Espais topològics lineals"
74;U120226;U120200;0;1;"Series e integrales trigonométricas";"Series e integrais trigonométricas";"Trigonometric series and integrals";"Sèries i integrals trigonométriques"
75;U120299;U120200;0;1;"Otras";"Outras";"Other";"Altres"
76;U120300;U120000;0;1;"Ciencia de los ordenadores";"Ciencia dos ordenadores";"Computer sciences";"Ciències de la computació"
77;U120301;U120300;0;1;"Contabilidad";"Contabilidade";"Accounting";"Computabilitat"
78;U120302;U120300;0;1;"Lenguajes algorítmicos";"Linguaxes algorítmicas";"Algorithimic languages";"Llenguatges algorítmics"
79;U120303;U120300;0;1;"Cálculo analógico";"Cálculo analóxico";"Analog computing";"Càlcul analògic"
80;U120304;U120300;0;1;"Inteligencia artificial";"Intelixencia artificial";"Artificial intelligence";"Intel·ligència artificial"
81;U120305;U120300;0;1;"Sistemas automatizados de producción";"Sistemas automatizados de produción";"Automated manufacturing systems";"Sistemes automatitzats de producció"
82;U120306;U120300;0;1;"Sistemas automatizados de control de calidad";"Sistemas automatizados de control de calidade";"Automated quality control systems";"Sistemes automatitzats de control de qualitat"
83;U120307;U120300;0;1;"Modelos causales";"Modelos causais";"Causal modelling";"Models causals"
84;U120308;U120300;0;1;"Código y sistemas de codificación";"Código e sistemas de codificación";"Codes and coding systems";"Codis i sistemes de codificació"
85;U120309;U120300;0;1;"Diseño con ayuda de ordenador";"Deseño con axuda de ordenador";"Computer-assisted design";"Disseny assistit per ordinador"
86;U120310;U120300;0;1;"Enseñanza con ayuda de ordenador";"Ensinanza con axuda de ordenador";"Computer-assisted instruction";"Ensenyament assistit per ordinador"
87;U120311;U120300;0;1;"Logicales de ordenadores";"Loxicais de ordenadores";"Computer software";"Programari d'ordinadors"
88;U120312;U120300;0;1;"Bancos de datos";"Bancos de datos";"Data banks";"Bancs de dades"
89;U120313;U120300;0;1;"Cálculo digital";"Cálculo dixital";"Digital computing";"Càlcul digital"
90;U120314;U120300;0;1;"Sistemas de control del entorno";"Sistemas de control do entorno";"Environmental control systems";"Sistemes de control de l'entorn"
91;U120315;U120300;0;1;"Heurística";"Heurística";"Heuristics";"Heurística"
92;U120316;U120300;0;1;"Cálculo híbrido";"Cálculo híbrido";"Hybrid computing";"Computació híbrida"
93;U120317;U120300;0;1;"Informática";"Informática";"Informatics";"Informàtica"
94;U120318;U120300;0;1;"Sistemas de información;diseño y componentes";"Sistemas de información;deseño e componentes";"Information systems; design and components";"Sistemes d'informació, disseny i components"
95;U120319;U120300;0;1;"Control de inventarios";"Control de inventarios";"Inventory control";"Control d'inventaris"
96;U120320;U120300;0;1;"Sistemas de control médico";"Sistemas de control médico";"Medical monitoring systems";"Sistemes de control mèdic"
97;U120321;U120300;0;1;"Sistemas de navegación y telemetría del espacio";"Sistemas de navegación e telemetría do espazo";"Navigation and space telemetry systems";"Sistemes de navegació i telemetria de l'espai"
98;U120322;U120300;0;1;"Sistemas de control de producción";"Sistemas de control de produción";"Production control systems";"Sistemes de control de producció"
99;U120323;U120300;0;1;"Lenguajes de programación";"Linguaxes de programación";"Programming languages";"Llenguatges de programació"
100;U120324;U120300;0;1;"Teoría de la programación";"Teoría da programación";"Programming theory";"Teoria de la programació"
101;U120325;U120300;0;1;"Diseño de sistemas sensores";"Deseño de sistemas sensores";"Sensor systems design";"Disseny de sistemes sensors"
102;U120399;U120300;0;1;"Otras";"Outras";"Other";"Altres"
103;U120400;U120000;0;1;"Geometría";"Xeometría";"Geometry";"Geometria"
104;U120401;U120400;0;1;"Geometría afín";"Xeometría afín";"Affine geometry";"Geometria afí"
105;U120402;U120400;0;1;"Variedades complejas";"Variedades complexas";"Complex manifolds";"Varietats complexes"
106;U120403;U120400;0;1;"Dominios convexos";"Dominios convexos";"Convex domains";"Dominis convexos"
107;U120404;U120400;0;1;"Geometría diferencial";"Xeometría diferencial";"Differential geometry";"Geometria diferencial"
108;U120405;U120400;0;1;"Problemas de contorno";"Problemas de contorno";"Extremum problems";"Problemes de contorn"
109;U120406;U120400;0;1;"Geometría euclídea";"Xeometría euclídea";"Euclidean geometry";"Geometria euclidiana"
110;U120407;U120400;0;1;"Geometrías finitas";"Xeometrías finitas";"Finite geometries";"Geometries finites"
111;U120408;U120400;0;1;"Fundamentos";"Fundamentos";"Foundations";"Fonaments"
112;U120409;U120400;0;1;"Geometrías no euclídeas";"Xeometrías non euclídeas";"Non-Euclidean geometries";"Geometries no euclidianes"
113;U120410;U120400;0;1;"Geometría proyectiva";"Xeometría proxectiva";"Projective geometry";"Geometria projectiva"
114;U120411;U120400;0;1;"Geometría de Riemann";"Xeometría de Riemann";"Riemannian geometry";"Geometria de Riemann"
115;U120412;U120400;0;1;"Análisis tensorial";"Análise tensorial";"Tensor analysis";"Anàlisi tensorial"
116;U120499;U120400;0;1;"Otras";"Outras";"Other";"Altres"
117;U120500;U120000;0;1;"Teoría de números";"Teoría de números";"Number theory";"Teoria de nombres"
118;U120501;U120500;0;1;"Teoría algebraica de los números";"Teoría alxebraica dos números";"Algebraic number theory";"Teoria algebraica de nombres"
119;U120502;U120500;0;1;"Teoría analítica de los números";"Teoría analítica dos números";"Analytic number theory";"Teoria analítica de nombres"
120;U120503;U120500;0;1;"Problemas diofánticos";"Problemas diofánticos";"Diophantine problems";"Problemes diofàntics"
121;U120504;U120500;0;1;"Teoría elemental de los números";"Teoría elemental dos números";"Elementary number theory";"Teoria de nombres elemental"
122;U120505;U120500;0;1;"Geometría de los números";"Xeometría dos números";"Geometry of numbers";"Geometria dels nombres"
123;U120599;U120500;0;1;"Otras";"Outras";"Other";"Altres"
124;U120600;U120000;0;1;"Análisis numérico";"Análise numérico";"Numerical analysis";"Anàlisi numèrica"
125;U120601;U120600;0;1;"Construcción de algoritmos";"Construción de algoritmos";"Algorithm construction";"Construcció d'algorismes"
126;U120602;U120600;0;1;"Ecuaciones diferenciales";"Ecuacións diferenciais";"Diferential equations";"Equacions diferencials"
127;U120603;U120600;0;1;"Análisis de errores";"Análise de erros";"Error analysis";"Anàlisi d'errors"
128;U120604;U120600;0;1;"Ecuaciones funcionales";"Ecuacións funcionais";"Functional equations";"Equacions funcionals"
129;U120605;U120600;0;1;"Ecuaciones integrales";"Ecuacións integrais";"Integral equations";"Equacions integrals"
130;U120606;U120600;0;1;"Ecuaciones integro-diferenciales";"Ecuacións integro-diferenciais";"Integro-differential equations";"Equacions integro-diferencials"
131;U120607;U120600;0;1;"Interpolación;aproximación y ajuste de curvas";"Interpolación;aproximación e axuste de curvas";"Interpolation;approximation and curve fitting";"Interpolació, aproximació i ajustament de corbes"
132;U120608;U120600;0;1;"Métodos iterativos";"Métodos iterativos";"Iterative methods";"Métodes iteratius"
133;U120609;U120600;0;1;"Ecuaciones lineales";"Ecuacións lineais";"Linear equations";"Equacions lineals"
134;U120610;U120600;0;1;"Matrices";"Matrices";"Matrices";"Matrius"
135;U120611;U120600;0;1;"Diferenciación numérica";"Diferenciación numérica";"Numerical differentiation";"Diferenciació numérica"
136;U120612;U120600;0;1;"Ecuaciones diferenciales ordinarias";"Ecuacións diferenciais ordinarias";"Ordinary differential equations";"Equacions diferencials ordinaries"
137;U120613;U120600;0;1;"Ecuaciones diferenciales en derivadas parciales";"Ecuacións diferenciais en derivadas parciais";"Partial differential equations";"Equacions diferencials en derivades parcials"
138;U120614;U120600;0;1;"Cuadratura";"Cuadratura";"Quadrature";"Quadratura"
139;U120699;U120600;0;1;"Otras";"Outras";"Other";"Altres"
140;U120700;U120000;0;1;"Investigación operativa";"Investigación operativa";"Operations research";"Investigació d'operacions"
141;U120701;U120700;0;1;"Análisis de actividades";"Análise de actividades";"Activity analysis";"Anàlisi d'activitats"
142;U120702;U120700;0;1;"Sistemas de control";"Sistemas de control";"Control systems";"Sistemes de control"
143;U120703;U120700;0;1;"Cibernética";"Cibernética";"Cybernetics";"Cibernètica"
144;U120704;U120700;0;1;"Distribución y transporte";"Distribución e transporte";"Distribution and transport";"Distribució i transport"
145;U120705;U120700;0;1;"Programación dinámica";"Programación dinámica";"Dynamic programming";"Programació dinàmica"
146;U120706;U120700;0;1;"Teoría de juegos";"Teoría de xogos";"Game theory";"Teoria de jocs"
147;U120707;U120700;0;1;"Programación entera";"Programación entera";"Integer programming";"Programació entera"
148;U120708;U120700;0;1;"Inventarios";"Inventarios";"Inventory";"Inventaris"
149;U120709;U120700;0;1;"Programación lineal";"Programación lineal";"Linear programming";"Programació lineal"
150;U120710;U120700;0;1;"Redes de flujo";"Redes de fluxo";"Network flow";"Xarxes de flux"
151;U120711;U120700;0;1;"Programación no lineal";"Programación non lineal";"Non-linear programming";"Programació no lineal"
152;U120712;U120700;0;1;"Colas";"Colas";"Queuing";"Cues"
153;U120713;U120700;0;1;"Planificación";"Planificación";"Scheduling";"Planificació"
154;U120714;U120700;0;1;"Formulación de sistemas";"Formulación de sistemas";"Systems formulation";"Formulació de sistemes"
155;U120715;U120700;0;1;"Fiabilidad de sistemas";"Fiabilidade de sistemas";"Systems reliability";"Fiabilitat de sistemes"
156;U120799;U120700;0;1;"Otras";"Outras";"Other";"Altres"
157;U120800;U120000;0;1;"Probabilidad";"Probabilidade";"Probability";"Probabilitat"
158;U120801;U120800;0;1;"Matemáticas actuariales";"Matemáticas actuariais";"Actuarial mathematics";"Matemàtiques actuarials"
159;U120802;U120800;0;1;"Teoría analítica de la probabilidad";"Teoría analítica da probabilidade";"Analytic probability theory";"Teoria analítica de la probabilitat"
160;U120803;U120800;0;1;"Aplicación de la probabilidad";"Aplicación da probabilidade";"Application of probability";"Aplicació de la probabilitat"
161;U120804;U120800;0;1;"Fundamentos de la probabilidad";"Fundamentos da probabilidade";"Foundations of probability";"Fonaments de la probabilitat"
162;U120805;U120800;0;1;"Teoremas del límite";"Teoremas do límite";"Limit theorems";"Teoremes del límit"
163;U120806;U120800;0;1;"Procesos de Markov";"Procesos de Markov";"Markov processes";"Processos de Markov"
164;U120807;U120800;0;1;"Plausibilidad";"Plausibilidade";"Plausibility";"Plausibilitat"
165;U120808;U120800;0;1;"Procesos estocásticos";"Procesos estocásticos";"Stochastic processes";"Processos estocàstics"
166;U120809;U120800;0;1;"Probabilidad subjetiva";"Probabilidade subxectiva";"Subjective probabilities";"Probabilitat subjectiva"
167;U120899;U120800;0;1;"Otras";"Outras";"Other";"Altres"
168;U120900;U120000;0;1;"Estadística";"Estadística";"Statistics";"Estadística"
169;U120901;U120900;0;1;"Estadística analítica";"Estadística analítica";"Analytical statistics";"Estadística analítica"
170;U120902;U120900;0;1;"Cálculo en estadística";"Cálculo en estadística";"Computing for statistics";"Càlcul en estadística"
171;U120903;U120900;0;1;"Análisis de datos";"Análise de datos";"Data analysis";"Anàlisi de dades"
172;U120904;U120900;0;1;"Teoría y procesos de decisión";"Teoría e procesos de decisión";"Decision procedures and theory";"Teoria i processos de decisió"
173;U120905;U120900;0;1;"Análisis y diseño de experimentos";"Análise e diseño de experimentos";"Design and analysis of experiment";"Anàlisi i disseny d'experiments"
174;U120906;U120900;0;1;"Métodos de distribución libre y no paramétrica";"Métodos de distribución libre e non paramétrica";"Distribution-free and non-parametric methods";"Métodes de distribució lliure i no paramètrica"
175;U120907;U120900;0;1;"Teoría de la distribución y probabilidad";"Teoría da distribución e probabilidade";"Distribution and probability theory";"Teoria de la distribució i probabilitat"
176;U120908;U120900;0;1;"Fundamentos de la inferencia estadística";"Fundamentos da inferencia estadística";"Foundations of statistical inference";"Fonaments de la inferència estadística"
177;U120909;U120900;0;1;"Análisis multivariante";"Análise multivariante";"Multivariate analysis";"Anàlisi multivariant"
178;U120910;U120900;0;1;"Teoría y técnicas de muestreo";"Teoría e técnicas de muestreo";"Sampling theory and techniques";"Teoria i tècniques de mostreig"
179;U120911;U120900;0;1;"Teorías estocástica y análisis de series temporales";"Teorías estocástica e análise de series temporais";"Stochastic theory and time series analysis";"Teoria estocàstica i anàlisi de sèries temporals"
180;U120912;U120900;0;1;"Técnicas de asociación estadística";"Técnicas de asociación estadística";"Techniques of statistical association";"Tècniques d'associació estadística"
181;U120913;U120900;0;1;"Técnicas de inferencia estadística";"Técnicas de inferencia estadística";"Techniques of statistical inference";"Tècniques d'inferència estadística"
182;U120914;U120900;0;1;"Técnicas de predicción estadística";"Técnicas de predicción estadística";"Techniques of statistical prediction";"Tècniques de predicció estadística"
183;U120999;U120900;0;1;"Otras";"Outras";"Other";"Altres"
184;U121000;U120000;0;1;"Topología";"Topoloxía";"Topology";"Topologia"
185;U121001;U121000;0;1;"Espacios abstractos";"Espazos abstractos";"Abstract spaces";"Espais abstractes"
186;U121002;U121000;0;1;"Cohomología";"Cohomoloxía";"Cohomology";"Cohomologia"
187;U121003;U121000;0;1;"Variedades diferenciales";"Variedades diferenciais";"Differential manifolds";"Varietats diferencials"
188;U121004;U121000;0;1;"Espacios fibrados";"Espazos fibrados";"Fibre bundles and spaces";"Espais fibrats"
189;U121005;U121000;0;1;"Topología general";"Topoloxía xeral";"General topology";"Topologia general"
190;U121006;U121000;0;1;"Homología";"Homoloxía";"Homology";"Homologia"
191;U121007;U121000;0;1;"Homotopía";"Homotopía";"Homotopy";"Homotopia"
192;U121008;U121000;0;1;"Grupos de Lie";"Grupos de Lie";"Lie groups";"Grups de Lie"
193;U121009;U121000;0;1;"Topología lineal de entornos";"Topoloxía lineal de entornos";"Piecewise linear topology";"Topologia lineal d'entorns"
194;U121010;U121000;0;1;"Topología cuasilineal";"Topoloxía cuasilineal";"Point-set topology";"Topologia quasilineal"
195;U121011;U121000;0;1;"Topología tridimensional";"Topoloxía tridimensional";"Three dimensional topology";"Topologia tridimensional"
196;U121012;U121000;0;1;"Grupos topológicos";"Grupos topolóxicos";"Topological groups";"Grups topològics"
197;U121013;U121000;0;1;"Dinámica topológica";"Dinámica topolóxica";"Topological dynamics";"Dinàmica topològica"
198;U121014;U121000;0;1;"Recubrimientos topológicos";"Recubrimentos topolóxicos";"Topological embedding";"Recobriments topològics"
199;U121015;U121000;0;1;"Variedades topológicas";"Variedades topolóxicas";"Topological manifolds";"Varietats topològiques"
200;U121016;U121000;0;1;"Grupos de transformación";"Grupos de transformación";"Transformation groups";"Grups de transformació"
201;U121099;U121000;0;1;"Otras";"Outras";"Other";"Altres"
202;U129900;U120000;0;1;"Otras especialidades matemáticas";"Outras especialidades matemáticas";"Other mathematical specialities";"Other mathematical specialities"
203;U210000;UNESCO;0;1;"Astronomía y astrofísica";"Astronomía e astrofísica";"Astronomy & Astrophysics";"Astronomia i Astrofísica"
204;U210100;U210000;0;1;"Cosmología y cosmogonía";"Cosmoloxía e cosmogonía";"Cosmology and cosmogony";"Cosmologia i cosmogonia"
205;U210101;U210100;0;1;"Estrellas dobles";"Estrelas dobres";"Binary stars";"Estrelles dobles"
206;U210102;U210100;0;1;"Enjambres o cúmulos";"Enxames ou cúmulos";"Clusters";"Eixams o cúmuls"
207;U210103;U210100;0;1;"Rayos cósmicos";"Raios cósmicos";"Cosmic rays";"Raigs còsmics"
208;U210104;U210100;0;1;"Galaxias";"Galaxias";"Galaxies";"Galàxies"
209;U210105;U210100;0;1;"Gravitación";"Gravitación";"Gravitation";"Gravitació"
210;U210106;U210100;0;1;"Nebulosas";"Nebulosas";"Nebulae";"Nebuloses"
211;U210107;U210100;0;1;"Novas";"Novas";"Novae";"Noves"
212;U210108;U210100;0;1;"Púlsares";"Púlsares";"Pulsars";"Púlsars"
213;U210109;U210100;0;1;"Quasares";"Quasares";"Quasars";"Quàsars"
214;U210110;U210100;0;1;"Estrellas";"Estrelas";"Stars";"Estrelles"
215;U210111;U210100;0;1;"Evolución estelar y diagrama HR";"Evolución estelar e diagrama HR";"Stellar evolution and HR-diagram";"Evolució estel·lar i diagrama HR"
216;U210112;U210100;0;1;"Composición estelar";"Composición estelar";"Stellar composition";"Composició estel·lar"
217;U210113;U210100;0;1;"Supernovas";"Supernovas";"Super-novae";"Supernoves"
218;U210114;U210100;0;1;"Estrellas variables";"Estrelas variables";"Variable stars";"Estrelles variables"
219;U210115;U210100;0;1;"Fuentes de rayos X";"Fontes de raios X";"X-ray sources";"Fonts de raigs X"
220;U210199;U210100;0;1;"Otras";"Outras";"Other";"Altres"
221;U210200;U210000;0;1;"Medio interplanetario";"Medio interplanetario";"Interplanetary medium";"Física interplanetària"
222;U210201;U210200;0;1;"Campos interplanetarios";"Campos interplanetarios";"Interplanetary fields";"Camps interplanetaris"
223;U210202;U210200;0;1;"Materia interplanetaria";"Materia interplanetaria";"Interplanetary matter";"Matèria interplanetària"
224;U210203;U210200;0;1;"Partículas interplanetarias";"Partículas interplanetarias";"Interplanetary particles";"Partícules interplanetàries"
225;U210299;U210200;0;1;"Otras";"Outras";"Other";"Altres"
226;U210300;U210000;0;1;"Astronomía óptica";"Astronomía óptica";"Optical astronomy";"Astronomia òptica"
227;U210301;U210300;0;1;"Astronomía de posición";"Astronomía de posición";"Position astronomy";"Astronomia de posició"
228;U210302;U210300;0;1;"Telescopios";"Telescopios";"Telescopes";"Telescopis"
229;U210303;U210300;0;1;"Espectroscopia";"Espectroscopia";"Spectroscopy";"Espectroscòpia"
230;U210399;U210300;0;1;"Otras";"Outras";"Other";"Altres"
231;U210400;U210000;0;1;"Planetología";"Planetoloxía";"Planetology";"Planetologia"
232;U210401;U210400;0;1;"Cometas";"Cometas";"Comets";"Cometes"
233;U210402;U210400;0;1;"Meteoritos";"Meteoritos";"Meteorites";"Meteorits"
234;U210403;U210400;0;1;"Atmósferas planetarias";"Atmósferas planetarias";"Planetary atmospheres";"Atmosferes planetàries"
235;U210404;U210400;0;1;"Geología planetaria";"Xeoloxía planetaria";"Planetary geology";"Geologia planetària"
236;U210405;U210400;0;1;"Física planetaria";"Física planetaria";"Planetary physics";"Física planetària"
237;U210406;U210400;0;1;"Campos magnéticos planetarios";"Campos magnéticos planetarios";"Planetary magnetic fields";"Camps magnètics planetaris"
238;U210407;U210400;0;1;"Planetas";"Planetas";"Planets";"Planetes"
239;U210408;U210400;0;1;"Satélites";"Satélites";"Satellites";"Satèl·lits"
240;U210410;U210400;0;1;"La luna";"A luna";"The Moon";"La Lluna"
241;U210490;U210400;0;1;"Tectitas";"Tectitas";"Tektites";"Tectites"
242;U210499;U210400;0;1;"Otras";"Outras";"Other";"Altres"
243;U210500;U210000;0;1;"Radioastronomía";"Radioastronomía";"Radio-astronomy";"Radioastronomia"
244;U210501;U210500;0;1;"Antenas y radiotelescopios";"Antenas e radiotelescopios";"Antennae and radio-telescopes";"Antenes i radiotelescopis"
245;U210599;U210500;0;1;"Otras";"Outras";"Other";"Altres"
246;U210600;U210000;0;1;"Sistema solar";"Sistema solar";"Solar system";"Sistema Solar"
247;U210601;U210600;0;1;"Energía solar";"Enerxía solar";"Solar energy";"Energia solar"
248;U210602;U210600;0;1;"Física solar";"Física solar";"Solar physics";"Física solar"
249;U210603;U210600;0;1;"Viento solar";"Vento solar";"Solar wind";"Vent solar"
250;U210604;U210600;0;1;"El sol";"O sol";"The Sun";"El Sol"
251;U210699;U210600;0;1;"Otras";"Outras";"Other";"Altres"
252;U219900;U210000;0;1;"Otras especialidades astronómicas";"Outras especialidades astronómicas";"Other astronomical specialities";"Other astronomical specialities"
253;U220000;UNESCO;0;1;"Física";"Física";"Physics";"Física"
254;U220100;U220000;0;1;"Acústica";"Acústica";"Acoustics";"Acústica"
255;U220101;U220100;0;1;"Propiedades acústicas de los sólidos";"Propiedades acústicas dos sólidos";"Acoustic properties of solids";"Propietats acústiques dels sòlids"
256;U220102;U220100;0;1;"Acústica arquitectónica";"Acústica arquitectónica";"Architectural acoustics";"Acústica arquitectònica"
257;U220103;U220100;0;1;"Física de la audición";"Física da audición";"Hearing (physics of)";"Física de l'audició"
258;U220104;U220100;0;1;"Física de la música";"Física da música";"Music (physics of)";"Física de la música"
259;U220105;U220100;0;1;"Ruido";"Ruído";"Noise";"Soroll"
